Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;14;3MD080;2020-02-23;15:00;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;LP DE LA CLOSERIE;;;;
ABCCS;14;3MD081;2020-02-23;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0293600;SAINT-RENAN IROISE VOLLEY;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;14;3MD082;2020-02-23;15:00;0351417;RENNES ETUDIANTS CLUB;0293606;KLOAR-AVEN VB 29;;;;COURTEMANCHE;;;;
ABCCS;14;3MD083;2020-02-23;15:00;0353652;C.P.B. RENNES 35;0534442;ASPTT LAVAL;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;14;3MD084;2020-02-23;15:00;0355169;VOLLEY BALL CLUB MALOUIN;0442477;ASB REZE 3;;;;MARVILLE;;;;
ABCCS;15;3MD085;2020-03-01;15:00;;xxxxx;0442477;ASB REZE 3;;;;;;;;
ABCCS;15;3MD086;2020-03-01;15:00;0534442;ASPTT LAVAL;0355169;VOLLEY BALL CLUB MALOUIN;;;;GYMNASE NOEMIE HAMARD;;;;
ABCCS;15;3MD087;2020-03-01;15:00;0293606;KLOAR-AVEN VB 29;0353652;C.P.B. RENNES 35;;;;SALLE DES SPORTS;;;;
ABCCS;15;3MD088;2020-03-01;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0351417;RENNES ETUDIANTS CLUB;;;;SALLE GUYADER;;;;
ABCCS;15;3MD089;2020-03-01;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0351428;E.SP. CANTON DE PIPRIAC V.B.;;;;2 RUISSEAUX;;;;
ABCCS;15;3MD090;2020-03-01;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;;;COUBERTIN;;;;
ABCCS;16;3MD091;2020-03-15;15:00;0229106;GOELO COTES D'ARMOR VOLLEY-BALL;;xxxxx;;;;LP DE LA CLOSERIE;;;;
ABCCS;16;3MD092;2020-03-15;15:00;0351428;E.SP. CANTON DE PIPRIAC V.B.;0449605;ST NAZAIRE VB ATLANTIQUE 3;;;;COMPLEXE DES TERRES ROUGES;;;;
ABCCS;16;3MD093;2020-03-15;15:00;0351417;RENNES ETUDIANTS CLUB;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;;;;COURTEMANCHE;;;;
ABCCS;16;3MD094;2020-03-15;15:00;0353652;C.P.B. RENNES 35;0293600;SAINT-RENAN IROISE VOLLEY;;;;GYMNASE CDT BOUGOUIN;;;;
ABCCS;16;3MD095;2020-03-15;15:00;0355169;VOLLEY BALL CLUB MALOUIN;0293606;KLOAR-AVEN VB 29;;;;MARVILLE;;;;
ABCCS;16;3MD096;2020-03-14;20:00;0442477;ASB REZE 3;0534442;ASPTT LAVAL;;;;GYMNASE LIBERGE;;;;
ABCCS;17;3MD097;2020-03-22;15:00;;xxxxx;0534442;ASPTT LAVAL;;;;;;;;
ABCCS;17;3MD098;2020-03-22;15:00;0293606;KLOAR-AVEN VB 29;0442477;ASB REZE 3;;;;SALLE DES SPORTS;;;;
ABCCS;17;3MD099;2020-03-22;15:00;0293600;SAINT-RENAN IROISE VOLLEY;0355169;VOLLEY BALL CLUB MALOUIN;;;;SALLE GUYADER;;;;
ABCCS;17;3MD100;2020-03-22;15:00;0351501;UGS VOLLEY BALL CESSON-CHANTEPIE-VERN;0353652;C.P.B. RENNES 35;;;;2 RUISSEAUX;;;;
ABCCS;17;3MD101;2020-03-22;14:00;0449605;ST NAZAIRE VB ATLANTIQUE 3;0351417;RENNES ETUDIANTS CLUB;;;;COUBERTIN;;;;
